Address,Mnemonic,Bit,"Reset
Value",Type,Description
00,CONFIG,,,,Configuration Register
,Reserved,7,0,R/W,Only '0' allowed
,MASK_RX_DR,6,0,R/W,"Mask interrupt caused by RX_DR
1: Interrupt not reflected on the IRQ pin
0: Reflect RX_DR as active low interrupt on the
IRQ pin"
,MASK_TX_DS,5,0,R/W,"Mask interrupt caused by TX_DS
1: Interrupt not reflected on the IRQ pin
0: Reflect TX_DS as active low interrupt on the IRQ
pin"
,MASK_MAX_RT,4,0,R/W,"Mask interrupt caused by MAX_RT
1: Interrupt not reflected on the IRQ pin
0: Reflect MAX_RT as active low interrupt on the
IRQ pin"
,EN_CRC,3,1,R/W,"Enable CRC. Forced high if one of the bits in the
EN_AA is high"
,CRCO,2,0,R/W,"CRC encoding scheme
'0' - 1 byte
'1' – 2 bytes"
,PWR_UP,1,0,R/W,"1: POWER UP, 0:POWER DOWN"
,PRIM_RX,0,0,R/W,"RX/TX control
1: PRX, 0: PTX"
01,EN_AA,,,,"Enable ‘Auto Acknowledgment’ Function Disable
this functionality to be compatible with nRF2401, see page 72"
,Reserved,7:6,00,R/W,Only '00' allowed
,ENAA_P5,5,1,R/W,Enable auto acknowledgement data pipe 5
,ENAA_P4,4,1,R/W,Enable auto acknowledgement data pipe 4
,ENAA_P3,3,1,R/W,Enable auto acknowledgement data pipe 3
,ENAA_P2,2,1,R/W,Enable auto acknowledgement data pipe 2
,ENAA_P1,1,1,R/W,Enable auto acknowledgement data pipe 1
,ENAA_P0,0,1,R/W,Enable auto acknowledgement data pipe 0
02,EN_RXADDR,,,,Enabled RX Addresses
,Reserved,7:6,00,R/W,Only '00' allowed
,ERX_P5,5,0,R/W,Enable data pipe 5.
,ERX_P4,4,0,R/W,Enable data pipe 4.
,ERX_P3,3,0,R/W,Enable data pipe 3.
,ERX_P2,2,0,R/W,Enable data pipe 2.
,ERX_P1,1,1,R/W,Enable data pipe 1.
,ERX_P0,0,1,R/W,Enable data pipe 0.
03,SETUP_AW,,,,"Setup of Address Widths
(common for all data pipes)"
,Reserved,7:2,000000,R/W,Only '000000' allowed
,AW,1:0,11,R/W,"RX/TX Address field width
'00' - Illegal
'01' - 3 bytes
'10' - 4 bytes
'11' – 5 bytes
LSByte is used if address width is below 5 bytes"
04,SETUP_RETR,,,,Setup of Automatic Retransmission
,ARDa,7:4,0000,R/W,"Auto Retransmit Delay
‘0000’ – Wait 250µS ‘0001’ – Wait 500µS ‘0010’ – Wait 750µS
……..
‘1111’ – Wait 4000µS
(Delay defined from end of transmission to start of next transmission)b"
,ARC,3:0,0011,R/W,"Auto Retransmit Count
‘0000’ –Re-Transmit disabled
‘0001’ – Up to 1 Re-Transmit on fail of AA
……
‘1111’ – Up to 15 Re-Transmit on fail of AA"
05,RF_CH,,,,RF Channel
,Reserved,7,0,R/W,Only '0' allowed
,RF_CH,6:0,0000010,R/W,"Sets the frequency channel nRF24L01+ operates
on"
06,RF_SETUP,,,,RF Setup Register
,CONT_WAVE,7,0,R/W,Enables continuous carrier transmit when high.
,Reserved,6,0,R/W,Only '0' allowed
,RF_DR_LOW,5,0,R/W,"Set RF Data Rate to 250kbps. See RF_DR_HIGH
for encoding."
,PLL_LOCK,4,0,R/W,Force PLL lock signal. Only used in test
,RF_DR_HIGH,3,1,R/W,"Select between the high speed data rates. This bit
is don’t care if RF_DR_LOW is set. Encoding:
[RF_DR_LOW, RF_DR_HIGH]: ‘00’ – 1Mbps
‘01’ – 2Mbps
‘10’ – 250kbps
‘11’ – Reserved"
,RF_PWR,2:1,11,R/W,"Set RF output power in TX mode
'00' –  -18dBm
'01' –  -12dBm
'10' –    -6dBm
'11' –     0dBm"
07,STATUS,,,,"Status Register (In parallel to the SPI command
word applied on the MOSI pin, the STATUS register is shifted serially out on the MISO pin)"
,Reserved,7,0,R/W,Only '0' allowed
,RX_DR,6,0,R/W,"Data Ready RX FIFO interrupt. Asserted when
new data arrives RX FIFOc. Write 1 to clear bit."
